SYSNAME,SUBSTRATE,PRODUCT,bin,OxidativeHalf,ReductionHalf
"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase","['6,7-dimethyl-8-(1-D-ribityl)lumazine']","['riboflavin [CPD:C00255];', '4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine [CPD:C04732]']",0,0,0
"S-adenosyl-L-methionine:8-amino-8-demethylriboflavin N,N-dimethyltransferase","['S-adenosyl-L-methionine [CPD:C00019];', '8-amino-8-demethylriboflavin [CPD:C21646];', '8-demethyl-8-(methylamino)riboflavin [CPD:C21648]']","['S-adenosyl-L-homocysteine [CPD:C00021];', 'roseoflavin [CPD:C21647];', '8-demethyl-8-(methylamino)riboflavin [CPD:C21648]']",0,0,0
(S)-malate:quinone oxidoreductase,"['(S)-malate', '(S)-malate [CPD:C00149];', '2,6-dichlorophenol indophenol', '2,6-dichlorphenolindophenol', 'a quinone', 'acceptor', 'dimethyl naphthoquinone', 'duroquinone', 'menaquinone-1', 'more', 'oxidized 2,6-dichlorophenol indophenol', 'quinone', 'quinone [CPD:C15602]', 'ubiquinone', 'ubiquinone-0', 'ubiquinone-1', 'ubiquinone-6', 'ubiquinone-9', 'vitamin K1', 'vitamin K3']","['?', 'a quinol', 'dimethyl naphthoquinol', 'duroquinol', 'menaquinol-1', 'oxaloacetate', 'oxaloacetate [CPD:C00036];', 'quinol', 'reduced 2,6-dichlorophenol indophenol', 'reduced 2,6-dichlorphenolindophenol', 'reduced acceptor', 'reduced quinone [CPD:C15603]', 'reduced ubiquinone-1', 'reduced vitamin K1', 'reduced vitamin K3', 'ubiquinol', 'ubiquinol-0', 'ubiquinol-1', 'ubiquinol-6', 'ubiquinol-9']",0,0,0
riboflavin hydrolase,"['riboflavin [CPD:C00255];', 'H2O [CPD:C00001]']","['ribitol [CPD:C00474];', 'lumichrome [CPD:C01727]']",0,0,0
long-chain fatty acid:holo-[mycocerosate synthase] ligase (AMP-forming),"['ATP [CPD:C00002];', 'long-chain fatty acid [CPD:C00638];', 'holo-[mycocerosate synthase];', 'long-chain acyl-adenylate ester']","['AMP [CPD:C00020];', 'diphosphate [CPD:C00013];', 'long-chain acyl-[mycocerosate synthase];', 'long-chain acyl-adenylate ester']",0,0,0
long-chain fatty acid:holo-[(phenol)carboxyphthiodiolenone synthase] ligase (AMP-forming),"['ATP [CPD:C00002];', 'long-chain fatty acid [CPD:C00638];', 'holo-[(phenol)carboxyphthiodiolenone synthase];', 'long-chain fatty-acyl adenylate ester']","['AMP [CPD:C00020];', 'diphosphate [CPD:C00013];', 'long-chain acyl-[(phenol)carboxyphthiodiolenone synthase];', 'long-chain fatty-acyl adenylate ester']",0,0,0
palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase,"['ATP [CPD:C00002];', 'stearate [CPD:C01530];', 'holo-[(hydroxy)phthioceranic acid synthase] [CPD:C22133];', '(stearoyl)adenylate [CPD:C22132];', 'palmitate [CPD:C00249];', '(palmitoyl)adenylate [CPD:C22135]']","['AMP [CPD:C00020];', 'diphosphate [CPD:C00013];', 'stearoyl-[(hydroxy)phthioceranic acid synthase] [CPD:C22134];', '(stearoyl)adenylate [CPD:C22132];', 'palmitoyl-[(hydroxy)phthioceranic acid synthase] [CPD:C22124];', '(palmitoyl)adenylate [CPD:C22135]']",0,0,0
"Delta8-acyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (5,6-cis-dehydrogenating)","['(8Z,11Z,14Z)-icosa-8,11,14-trienoyl-CoA', '(8Z,11Z,14Z)-icosa-8,11,14-trienoyl-CoA [CPD:C03595];', '(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA', '(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA [CPD:C16164]', 'H+', 'H+ [CPD:C00080];', 'O2', 'O2 [CPD:C00007];', 'alpha-linolenoyl-CoA', 'dihomo-gamma linolenoyl-CoA', 'dihomo-gamma-linolenic acid', 'dihomo-gamma-linolenoyl-CoA', 'dihomo-gamma-linolenoyl-phospholipid', 'docosapentaenoyl-CoA', 'eicosatetraenoic acid', 'eicosatetraenoyl-CoA', 'eicosatetraenoyl-phospholipid', 'ferrocytochrome b5', 'ferrocytochrome b5 [CPD:C00999];', 'more']","['(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl-CoA', '(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl-CoA [CPD:C16165]', '?', 'H2O', 'H2O [CPD:C00001];', 'arachidonic acid', 'arachidonic acid-phospholipid', 'arachidonoyl-CoA', 'arachidonoyl-CoA [CPD:C02249];', 'docosahexanoyl-CoA', 'eicosapentaenoic acid', 'eicosapentaenoyl-CoA', 'eicosapentaenoyl-phospholipid', 'ferricytochrome b5', 'ferricytochrome b5 [CPD:C00996];']",0,0,0
"FAD AMP-lyase (riboflavin-cyclic-4',5'-phosphate-forming)",['FAD [CPD:C00016]'],"['AMP [CPD:C00020];', ""riboflavin cyclic-4',5'-phosphate [CPD:C16071]""]",0,0,0
(R)-pantolactone:acceptor oxidoreductase (flavin-containing),"['(Fe(CN)6)3-', '(R)-Pantolactone', '(R)-pantolactone [CPD:C01012];', '2,6-dichlorophenol-indophenol', 'acceptor [CPD:C00028]', 'indonitrotetrazolium', 'medola blue', 'more', 'nitrotetrazolium blue', 'phenazine methosulfate']","['2-Dehydropantonolactone', '2-dehydropantolactone [CPD:C01125];', '?', 'Fe(CN)64-', 'reduced 2,6-dichlorophenol-indophenol', 'reduced acceptor [CPD:C00030]', 'reduced indonitrotetrazolium', 'reduced medola blue', 'reduced nitrotetrazolium blue', 'reduced phenazine methosulfate']",0,0,0
