!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17'
!Identifiers:kegg.compound	!Name	!dG0 (kJ/mol)	!nH	!charge	!nMg	!Note
C00001	C_h2o	-237.2	2	0	0	
C00002	C_atp	-2768.1	12	-4	0	
C00002	C_atp	-3258.7	12	-2	1	
C00002	C_atp	-3729.3	12	0	2	
C00002	C_atp	-2811.5	13	-3	0	
C00002	C_atp	-3287.5	13	-1	1	
C00002	C_atp	-2838.2	14	-2	0	
C00003	C_nad	0.0	26	-1	0	
C00003	C_nad	-464.1	26	1	1	
C00004	C_nadh	22.6	27	-2	0	
C00004	C_nadh	-441.7	27	0	1	
C00005	C_nadph	-809.2	26	-4	0	
C00006	C_nadp	-835.2	25	-3	0	
C00007	C_oxygen	16.4	0	0	0	
C00008	C_adp	-1906.1	12	-3	0	
C00008	C_adp	-2388.0	12	-1	1	
C00008	C_adp	-1947.1	13	-2	0	
C00008	C_adp	-2416.7	13	0	1	
C00008	C_adp	-1972.0	14	-1	0	
C00009	C_orthophosphate	-1096.1	1	-2	0	
C00009	C_orthophosphate	-1566.9	1	0	1	
C00009	C_orthophosphate	-1137.3	2	-1	0	
C00010	C_coa	0.0	31	-5	0	
C00010	C_coa	-47.8	32	-4	0	
C00011	C_co2	-386.0	0	0	0	
C00013	C_diphosphate	-1919.9	0	-4	0	
C00013	C_diphosphate	-1973.9	1	-3	0	
C00013	C_diphosphate	-2012.2	2	-2	0	
C00013	C_diphosphate	-2025.1	3	-1	0	
C00013	C_diphosphate	-2029.8	4	0	0	
C00014	C_nh3	-26.5	3	0	0	
C00014	C_nh3	-79.3	4	1	0	
C00016	C_fad	0.0	31	-2	0	
C00020	C_amp	-1040.5	12	-2	0	
C00020	C_amp	-1511.8	12	0	1	
C00020	C_amp	-1078.9	13	-1	0	
C00020	C_amp	-1101.6	14	0	0	
C00022	C_pyruvate	-472.3	3	-1	0	
C00022	C_pyruvate	-936.2	3	1	1	
C00022	C_pyruvate	-485.8	4	0	0	
C00024	C_acetyl_coa	-188.5	34	-4	0	
C00025	C_l_glutamate	-697.5	8	-1	0	
C00026	C_2_oxoglutarate	-793.4	4	-2	0	
C00027	C_hydrogen_peroxide	-134.0	2	0	0	
C00031	C_d_glucose	-915.9	12	0	0	
C00033	C_acetate	-369.3	3	-1	0	
C00033	C_acetate	-396.4	4	0	0	
C00036	C_oxaloacetate	-793.3	2	-2	0	
C00037	C_glycine	-379.9	5	0	0	
C00041	C_l_alanine	-371.0	7	0	0	
C00042	C_succinate	-690.4	4	-2	0	
C00042	C_succinate	-722.6	5	-1	0	
C00042	C_succinate	-746.6	6	0	0	
C00048	C_glyoxylate	-468.6	1	-1	0	
C00049	C_l_aspartate	-695.9	6	-1	0	
C00051	C_glutathione	34.2	15	-2	0	
C00051	C_glutathione	-13.4	16	-1	0	
C00058	C_formate	-351.0	1	-1	0	
C00059	C_sulfate	-744.5	0	-2	0	
C00059	C_sulfate	-755.9	1	-1	0	
C00061	C_fmn	0.0	19	-2	0	
C00064	C_l_glutamine	-528.0	10	0	0	
C00065	C_l_serine	-510.9	7	0	0	
C00067	C_formaldehyde	-121.5	2	0	0	
C00073	C_l_methionine	-502.9	11	0	0	
C00074	C_phosphoenolpyruvate	-1263.7	2	-3	0	
C00074	C_phosphoenolpyruvate	-1731.8	2	-1	1	
C00074	C_phosphoenolpyruvate	-1303.6	3	-2	0	
C00078	C_l_tryptophan	-114.7	12	0	0	
C00079	C_l_phenylalanine	-207.1	11	0	0	
C00080	C_h	0.0	0	0	0	
C00082	C_l_tyrosine	-370.7	11	0	0	
C00084	C_acetaldehyde	-139.0	4	0	0	
C00085	C_d_fructose_6_phosphoric_acid	-1760.8	11	-2	0	
C00085	C_d_fructose_6_phosphoric_acid	-2235.0	11	0	1	
C00085	C_d_fructose_6_phosphoric_acid	-1796.6	12	-1	0	
C00086	C_urea	-202.8	4	0	0	
C00087	C_sulfur	0.0	0	0	0	
C00088	C_nitrite	-32.2	0	-1	0	
C00088	C_nitrite	-50.6	1	0	0	
C00089	C_sucrose	-1564.7	22	0	0	
C00091	C_succinyl_coa	-509.6	35	-5	0	
C00091	C_succinyl_coa	-533.8	36	-4	0	
C00092	C_glucose_6_phosphate	-1763.9	11	-2	0	
C00092	C_glucose_6_phosphate	-2234.1	11	0	1	
C00092	C_glucose_6_phosphate	-1800.6	12	-1	0	
C00093	C_sn_glycerol_3_phosphate	-1359.0	7	-2	0	
