ec,SYSNAME,SUBSTRATE,PRODUCT,bin,OxidativeHalf,ReductionHalf
2.5.1.9,"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase","[""2 6,7-dimethyl-8-ribityllumazine"", ""6,7-dimethyl-8-(1-D-ribityl)lumazine"", ""6,7-dimethyl-8-[1'-(5'-deoxy-D-ribityl)]lumazine"", ""6,7-dimethyl-8-ribityllumazine"", ""more""]","[""4-(1'-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine"", ""4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine"", ""4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine [CPD:C04732]"", ""5'-deoxyriboflavin"", ""5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidine-dione"", ""5-amino-6-ribitylamino-2,4-(1H,3H)-pyrimidinedione"", ""?"", ""a compound related to 4-ribitylamino-2,5,6-trihydroxypyrimidine"", ""riboflavin"", ""riboflavin [CPD:C00255];""]",naf,0,0
2.1.1.343,"S-adenosyl-L-methionine:8-amino-8-demethylriboflavin N,N-dimethyltransferase","[""8-amino-8-demethyl-D-riboflavin"", ""8-amino-8-demethylriboflavin [CPD:C21646];"", ""8-demethyl-8-(methylamino)riboflavin [CPD:C21648]"", ""S-adenosyl-L-methionine"", ""S-adenosyl-L-methionine [CPD:C00019];"", ""more""]","[""8-demethyl-8-(methylamino)riboflavin [CPD:C21648]"", ""?"", ""S-adenosyl-L-homocysteine"", ""S-adenosyl-L-homocysteine [CPD:C00021];"", ""roseoflavin"", ""roseoflavin [CPD:C21647];""]",naf,0,0
1.1.5.4,(S)-malate:quinone oxidoreductase,"[""(S)-malate"", ""(S)-malate [CPD:C00149];"", ""2,6-dichlorophenol indophenol"", ""2,6-dichlorphenolindophenol"", ""a quinone"", ""acceptor"", ""dimethyl naphthoquinone"", ""duroquinone"", ""menaquinone-1"", ""more"", ""oxidized 2,6-dichlorophenol indophenol"", ""quinone"", ""quinone [CPD:C15602]"", ""ubiquinone"", ""ubiquinone-0"", ""ubiquinone-1"", ""ubiquinone-6"", ""ubiquinone-9"", ""vitamin K1"", ""vitamin K3""]","[""?"", ""a quinol"", ""dimethyl naphthoquinol"", ""duroquinol"", ""menaquinol-1"", ""oxaloacetate"", ""oxaloacetate [CPD:C00036];"", ""quinol"", ""reduced 2,6-dichlorophenol indophenol"", ""reduced 2,6-dichlorphenolindophenol"", ""reduced acceptor"", ""reduced quinone [CPD:C15603]"", ""reduced ubiquinone-1"", ""reduced vitamin K1"", ""reduced vitamin K3"", ""ubiquinol"", ""ubiquinol-0"", ""ubiquinol-1"", ""ubiquinol-6"", ""ubiquinol-9""]",0,0,0
3.5.99.1,riboflavin hydrolase,"[""2-hydroxyethylflavin"", ""3-hydroxypropylflavin"", ""3-methylriboflavin"", ""4-hydroxybutylflavin"", ""5-deoxyriboflavin"", ""5-hydroxypentylflavin"", ""6-hydroxyhexylflavin"", ""D-dichlorosorboflavin"", ""D-erythroflavin"", ""D-galactoflavin"", ""D-isoriboflavin"", ""D-lyxoflavin"", ""DL-glyceroflavin"", ""H2O"", ""H2O [CPD:C00001]"", ""L-deoxylyxoflavin"", ""L-lyxoflavin"", ""alloflavin"", ""araboflavin"", ""dichlororiboflavin"", ""formylmethylflavin"", ""lumiflavin"", ""riboflavin"", ""riboflavin 5'-phosphate"", ""riboflavin [CPD:C00255];""]","[""3-methylribitol"", ""7,8-dichloro-10-hydroxybenzo[g]pteridine-2,4(3H,10H)-dione"", ""?"", ""D-galactitol"", ""D-lyxitol"", ""L-deoxyxylitol"", ""L-lyxitol"", ""allose"", ""arabitol"", ""butanol"", ""deoxyribitol"", ""dichlororibitol"", ""erythritol"", ""ethanol"", ""glycerol"", ""hexanol"", ""isoribitol"", ""lumichrome"", ""lumichrome [CPD:C01727]"", ""pentanol"", ""propanol"", ""rac-(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexaol"", ""ribitol"", ""ribitol [CPD:C00474];"", ""ribitol phosphate""]",0,0,0
6.2.1.49,long-chain fatty acid:holo-[mycocerosate synthase] ligase (AMP-forming),"[""ATP"", ""ATP [CPD:C00002];"", ""a long-chain fatty acid"", ""holo-[mycocerosate synthase]"", ""holo-[mycocerosate synthase];"", ""long-chain acyl-adenylate ester"", ""long-chain fatty acid [CPD:C00638];""]","[""AMP"", ""AMP [CPD:C00020];"", ""a long-chain acyl-[mycocerosate synthase]"", ""diphosphate"", ""diphosphate [CPD:C00013];"", ""long-chain acyl-[mycocerosate synthase];"", ""long-chain acyl-adenylate ester""]",0,0,0
6.2.1.59,long-chain fatty acid:holo-[(phenol)carboxyphthiodiolenone synthase] ligase (AMP-forming),"[""ATP [CPD:C00002];"", ""long-chain fatty acid [CPD:C00638];"", ""holo-[(phenol)carboxyphthiodiolenone synthase];"", ""long-chain fatty-acyl adenylate ester""]","[""AMP [CPD:C00020];"", ""diphosphate [CPD:C00013];"", ""long-chain acyl-[(phenol)carboxyphthiodiolenone synthase];"", ""long-chain fatty-acyl adenylate ester""]",0,0,0
6.2.1.57,palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase,"[""(palmitoyl)adenylate [CPD:C22135]"", ""(stearoyl)adenylate [CPD:C22132];"", ""ATP [CPD:C00002];"", ""holo-[(hydroxy)phthioceranic acid synthase] [CPD:C22133];"", ""palmitate [CPD:C00249];"", ""stearate [CPD:C01530];""]","[""(palmitoyl)adenylate [CPD:C22135]"", ""(stearoyl)adenylate [CPD:C22132];"", ""AMP [CPD:C00020];"", ""diphosphate [CPD:C00013];"", ""palmitoyl-[(hydroxy)phthioceranic acid synthase] [CPD:C22124];"", ""stearoyl-[(hydroxy)phthioceranic acid synthase] [CPD:C22134];""]",0,0,0
1.14.19.44,"Delta8-acyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (5,6-cis-dehydrogenating)","[""(8Z,11Z,14Z)-icosa-8,11,14-trienoyl-CoA"", ""(8Z,11Z,14Z)-icosa-8,11,14-trienoyl-CoA [CPD:C03595];"", ""(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA"", ""(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA [CPD:C16164]"", ""H+"", ""H+ [CPD:C00080];"", ""O2"", ""O2 [CPD:C00007];"", ""alpha-linolenoyl-CoA"", ""dihomo-gamma linolenoyl-CoA"", ""dihomo-gamma-linolenic acid"", ""dihomo-gamma-linolenoyl-CoA"", ""dihomo-gamma-linolenoyl-phospholipid"", ""docosapentaenoyl-CoA"", ""eicosatetraenoic acid"", ""eicosatetraenoyl-CoA"", ""eicosatetraenoyl-phospholipid"", ""ferrocytochrome b5"", ""ferrocytochrome b5 [CPD:C00999];"", ""more""]","[""(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl-CoA"", ""(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl-CoA [CPD:C16165]"", ""?"", ""H2O"", ""H2O [CPD:C00001];"", ""arachidonic acid"", ""arachidonic acid-phospholipid"", ""arachidonoyl-CoA"", ""arachidonoyl-CoA [CPD:C02249];"", ""docosahexanoyl-CoA"", ""eicosapentaenoic acid"", ""eicosapentaenoyl-CoA"", ""eicosapentaenoyl-phospholipid"", ""ferricytochrome b5"", ""ferricytochrome b5 [CPD:C00996];""]",0,0,0
4.6.1.15,"FAD AMP-lyase (riboflavin-cyclic-4',5'-phosphate-forming)","[""FAD"", ""FAD [CPD:C00016]""]","[""AMP"", ""AMP [CPD:C00020];"", ""riboflavin cyclic-4',5'-phosphate"", ""riboflavin cyclic-4',5'-phosphate [CPD:C16071]""]",0,0,0
1.1.99.27,(R)-pantolactone:acceptor oxidoreductase (flavin-containing),"[""(Fe(CN)6)3-"", ""(R)-Pantolactone"", ""(R)-pantolactone [CPD:C01012];"", ""2,6-dichlorophenol-indophenol"", ""acceptor [CPD:C00028]"", ""indonitrotetrazolium"", ""medola blue"", ""more"", ""nitrotetrazolium blue"", ""phenazine methosulfate""]","[""2-Dehydropantonolactone"", ""2-dehydropantolactone [CPD:C01125];"", ""?"", ""Fe(CN)64-"", ""reduced 2,6-dichlorophenol-indophenol"", ""reduced acceptor [CPD:C00030]"", ""reduced indonitrotetrazolium"", ""reduced medola blue"", ""reduced nitrotetrazolium blue"", ""reduced phenazine methosulfate""]",0,0,0
