ec,comment
ec:1.14.19.43,section 1: Emily and Bruce list
ec:2.7.1.161,
ec:4.3.1.32,
ec:1.14.19.34,
ec:1.13.12.17,
ec:2.7.7.2,
ec:1.2.99.7,
ec:4.3.3.5,
ec:1.14.19.33,
ec:2.7.1.26,
ec:6.2.1.41,
ec:3.1.3.102,
ec:2.7.1.180,
ec:1.14.19.42,
ec:1.5.1.40,
ec:1.14.19.31,
ec:2.7.8.28,
ec:4.6.1.15,
ec:2.5.1.9,
ec:2.7.1.42,
ec:1.14.19.44,
ec:6.2.1.51,
ec:3.4.22.61,
ec:1.14.19.30,
ec:1.14.19.22,
ec:2.7.10.2,
ec:1.16.8.1,
ec:1.14.19.23,
ec:2.1.1.349,
ec:6.2.1.57,
ec:2.6.1.114,
ec:1.14.19.3,
ec:1.14.19.25,
ec:1.14.19.35,
ec:3.6.1.18,
ec:6.2.1.42,
ec:6.2.1.49,
ec:6.2.1.50,
ec:1.12.98.1,
ec:3.5.99.1,
ec:2.1.1.343,
ec:1.1.1.205,
ec:1.1.99.15,
ec:1.13.11.32,
ec:1.14.19.7,
ec:1.14.99.40,
ec:1.14.99.7,
ec:1.3.3.6,
ec:1.3.99.B12,
ec:1.4.99.B4,
ec:1.5.1.29,
ec:1.6.8.1,
ec:1.6.8.2,
ec:1.7.99.5,
ec:1.8.1.B1,
ec:1.8.99.B1,
ec:2.5.1.77,
ec:2.7.7.95,
ec:3.4.16.4,
ec:3.4.21.1,
ec:3.4.21.109,
ec:3.4.22.3,
ec:3.4.22.56,
ec:3.4.22.61,
ec:3.4.24.15,
ec:3.4.24.59,
ec:3.4.24.69,
ec:7.2.1.1,
ec:5.3.3.B2,section 2: all the entries with B in the name are going to error since they are brenda specific
ec:1.5.99.B4,
ec:3.4.24.B17
ec:1.8.1.B4,
ec:1.1.1.B58,
ec:2.1.1.B76,
ec:2.4.1.B53,
ec:1.1.99.B1,
ec:1.14.13.B1
ec:2.4.1.B71,
ec:1.1.99.B9,
ec:1.1.99.B3,
ec:3.2.1.B44,
ec:1.14.19.B8
ec:2.1.1.B75,
ec:2.1.1.B117
ec:4.2.1.B26,
ec:2.1.1.B74,
ec:1.1.1.B3,
ec:3.4.24.B20
ec:1.7.1.B3,
ec:1.3.99.B2,
ec:3.2.1.B31,
ec:1.7.1.B1,
ec:1.4.99.B3,
ec:1.14.19.B9
ec:1.5.99.B2,
ec:4.2.1.B25,
ec:1.14.13.21,section 3:this and following ones have been transerred to other pages
ec:1.6.2.2,
ec:1.14.13.89,
ec:2.7.1.25,
ec:6.2.1.59,
ec:1.1.3.9,
ec:1.14.11.23,
ec:2.7.1.127,
ec:3.4.21.5,
ec:4.1.1.36,
ec:2.4.1.358,
ec:3.4.22.1,
ec:3.4.15.1,
ec:3.4.17.23,
ec:3.4.24.35,
ec:1.14.14.82,
ec:1.14.13.53,
ec:3.4.23.46,
ec:1.14.13.127,
ec:1.17.1.4,
ec:7.1.1.2,
ec:1.14.11.22,
ec:3.4.21.91,
ec:3.4.24.74,
ec:1.14.15.4,
ec:3.4.11.2,
ec:1.14.13.52,
