pdbcode,title,bin,ReductionHalf,OxidativeHalf
3RED,(R)-HYDROXYNITRILE LYASE ,0,0,0
5EB4,(R)-MANDELONITRILE LYASE 1 PRECURSOR ,0,0,0
1JU2,(R)-MANDELONITRILE LYASE 2 PRECURSOR,0,0,0
3GDN,(R)-MANDELONITRILE LYASE 2 PRECURSOR ,0,0,0
4REP,"1-HYDROXYCAROTENOID 3,4-DESATURASE ",0,0,0
4K2X,12-DEHYDROTETRACYCLINE 5-MONOOXYGENASE/ANHYDROTETRACYCLINE 6-MONOOXYGENASE ,0,0,0
5MOG,"15-CIS-PHYTOENE DESATURASE, CHLOROPLASTIC/CHROMOPLASTIC PRECURSOR ",0,0,0
1PS9,"2,4-DIENOYL-COA REDUCTASE ",0,0,0
2VOU,"2,6-DIHYDROXYPYRIDINE 3-MONOOXYGENASE ",0,0,0
4CY6,2-HYDROXYBIPHENYL-3-MONOOXYGENASE ,0,0,0
3ALJ,2-METHYL-3-HYDROXYPYRIDINE-5-CARBOXYLIC ACID OXYGENASE ,0,0,0
4Z85,2-NITROBENZOATE NITROREDUCTASE ,0,0,0
3UOV,"2-OXO-DELTA(3)-4,5,5-TRIMETHYLCYCLOPENTENYLACETYL-COA MONOOXYGENASE ",0,0,0
1MO9,"2-OXOPROPYL-COM REDUCTASE, CARBOXYLATING ",0,0,0
4UWM,"3,6-DIKETOCAMPHANE 1,6-MONOOXYGENASE ",0,0,0
2DKH,3-HYDROXYBENZOATE 4-MONOOXYGENASE ,0,0,0
4C3X,3-KETOSTEROID DEHYDROGENASE ,0,0,0
5M1B,3-OCTAPRENYL-4-HYDROXYBENZOATE CARBOXY-LYASE ,0,0,0
6H6V,3-POLYPRENYL-4-HYDROXYBENZOATE DECARBOXYLASE AND RELATED DECARBOXYLASES ,0,0,0
1DII,4-CRESOL DEHYDROGENASE [HYDROXYLATING] FLAVOPROTEIN SUBUNIT,0,0,0
5ZZP,4-HYDROXYMANDELATE OXIDASE ,0,0,0
3CB0,4-HYDROXYPHENYLACETATE 3-MONOOXYGENASE ,0,0,0
2YYI,4-HYDROXYPHENYLACETATE 3-MONOOXYGENASE OXYGENASE COMPONENT ,0,0,0
2ED4,"4-HYDROXYPHENYLACETATE 3-MONOOXYGENASE, REDUCTASE COMPONENT ",0,0,0
2C4U,5'-FLUORO-5'-DEOXY-ADENOSINE SYNTHASE ,0,0,0
1Z69,"5,10-METHYLENETETRAHYDROMETHANOPTERIN REDUCTASE ",0,0,0
2ISJ,"5,6-DIMETHYLBENZIMIDAZOLE SYNTHASE ",0,0,0
4UDP,5-(HYDROXYMETHYL)FURFURAL OXIDASE ,0,0,0
2RGJ,5-METHYLPHENAZINE-1-CARBOXYLATE 1-MONOOXYGENASE ,0,0,0
2FG9,5-NITROIMIDAZOLE ANTIBIOTIC RESISTANCE PROTEIN ,0,0,0
1KYV,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE ",0,0,0
2BVF,6-HYDROXY-D-NICOTINE OXIDASE ,0,0,0
3K7M,6-HYDROXY-L-NICOTINE OXIDASE ,0,0,0
5EOW,6-HYDROXYNICOTINATE 3-MONOOXYGENASE PRECURSOR ,0,0,0
5DQR,"7-HYDROXYMETHYL CHLOROPHYLL A REDUCTASE, CHLOROPLASTIC PRECURSOR ",0,0,0
2Q9U,A-TYPE FLAVOPROTEIN ,0,0,0
4IIL,ABC TRANSPORTER RIBOFLAVIN-BINDING PROTEIN RFUA PRECURSOR ,0,0,0
1JSC,"ACETOLACTATE SYNTHASE CATALYTIC SUBUNIT, MITOCHONDRIAL PRECURSOR ",0,0,0
5AHK,"ACETOLACTATE SYNTHASE II, LARGE SUBUNIT ",0,0,0
5YPP,ACETOLACTATE SYNTHASE ISOZYME 1 SMALL SUBUNIT ,0,0,0
1YBH,"ACETOLACTATE SYNTHASE, CHLOROPLASTIC PRECURSOR ",0,0,0
2IPI,ACLACINOMYCIN-N/ACLACINOMYCIN-A OXIDASE PRECURSOR ,0,0,0
3UST,ACMNPV ORF92 ,0,0,0
2HFN,ACTIVATOR OF PHOTOPIGMENT AND PUC EXPRESSION ,0,0,0
2FON,ACYL-COENZYME A OXIDASE ,0,0,0
5Y9D,ACYL-COENZYME A OXIDASE 1 ,0,0,0
5YS9,ACYL-COENZYME A OXIDASE 3 ,0,0,0
2IX5,"ACYL-COENZYME A OXIDASE 4, PEROXISOMAL ",0,0,0
4XVX,ACYL-[ACYL-CARRIER-PROTEIN] DEHYDROGENASE MBTN ,0,0,0
5SVG,ADAGIO PROTEIN 1 ,0,0,0
6K2L,ADENOSINE-5'-PHOSPHOSULFATE REDUCTASE ALPHA SUBUNIT ,0,0,0
3GYX,ADENYLYLSULFATE REDUCTASE SUBUNIT ALPHA ,0,0,0
1JNR,"ADENYLYLSULFATE REDUCTASE, SUBUNIT A (APRA) ",0,0,0
2QCU,AEROBIC GLYCEROL-3-PHOSPHATE DEHYDROGENASE ,0,0,0
3IHG,AKLAVINONE 12-HYDROXYLASE RDME ,0,0,0
6F74,ALCOHOL OXIDASE ,0,0,0
5HSA,ALCOHOL OXIDASE 1 ,0,0,0
4UHW,ALDEHYDE OXIDASE ,0,0,0
3ZYV,ALDEHYDE OXIDASE 3 ,0,0,0
5Y6Q,ALDEHYDE OXIDASE SMALL SUBUNIT ,0,0,0
3FAH,ALDEHYDE OXIDOREDUCTASE ,0,0,0
5G5G,ALDEHYDE OXIDOREDUCTASE IRON-SULFUR-BINDING SUBUNIT PAOA PRECURSOR ,0,0,0
3FGC,ALKANAL MONOOXYGENASE ALPHA CHAIN ,0,0,0
1BSL,ALKANAL MONOOXYGENASE BETA CHAIN,0,0,0
3B9N,ALKANE MONOXYGENASE ,0,0,0
1FL2,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT F,0,0,0
4O5Q,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT F ,0,0,0
2UUU,ALKYLDIHYDROXYACETONEPHOSPHATE SYNTHASE ,0,0,0
4BBY,"ALKYLDIHYDROXYACETONEPHOSPHATE SYNTHASE, PEROXISOMAL PRECURSOR ",0,0,0
2RGH,ALPHA-GLYCEROPHOSPHATE OXIDASE ,0,0,0
6CXT,ALPHA/BETA HYDROLASE FOLD PROTEIN ,0,0,0
4DSG,AMINO_OXIDASE DOMAIN-CONTAINING PROTEIN ,0,0,0
4IRN,ANAB ,0,0,0
4D02,ANAEROBIC NITRIC OXIDE REDUCTASE FLAVORUBREDOXIN ,0,0,0
6O0K,APOPTOSIS REGULATOR BCL-2 ,0,0,0
1GV4,"APOPTOSIS-INDUCING FACTOR 1, MITOCHONDRIAL PRECURSOR ",0,0,0
1YRX,APPA PROTEIN,0,0,0
2BUN,APPA PROTEIN ,0,0,0
2IYG,"APPA, ANTIREPRESSOR OF PPSR, SENSOR OF BLUE LIGHT ",0,0,0
5DXX,ARTEMISINIC ALDEHYDE DELTA(11(13)) REDUCTASE ,0,0,0
3FIM,ARYL-ALCOHOL OXIDASE PRECURSOR ,0,0,0
3UE6,AUREOCHROME1 ,0,0,0
6I20,AUREOCHROME1-LIKE PROTEIN ,0,0,0
6GOS,BACTERIOCIN MICROCIN B17 PRECURSOR ,0,0,0
4EO3,BACTERIOFERRITIN COMIGRATORY PROTEIN/NADH DEHYDROGENASE ,0,0,0
6JDK,BAEYER-VILLIGER MONOOXYGENASE ,0,0,0
1KRH,"BENZOATE 1,2-DIOXYGENASE ELECTRON TRANSFER COMPONENT ",0,0,0
4UD8,BERBERINE BRIDGE ENZYME-LIKE 15 PRECURSOR ,0,0,0
5D79,BERBERINE BRIDGE ENZYME-LIKE 28 PRECURSOR ,0,0,0
5G48,BETA SLIDING CLAMP ,0,0,0
5M27,BETA SUBUNIT OF PHOTOACTIVATED ADENYLYL CYCLASE ,0,0,0
6MVF,BETA-GALACTOSIDASE/BETA-GLUCURONIDASE ,0,0,0
6B9V,BETA-LACTAMASE-LIKE PROTEIN ,0,0,0
2HTI,BH0577 PROTEIN ,0,0,0
1BVY,BIFUNCTIONAL CYTOCHROME P450/NADPH--P450 REDUCTASE,0,0,0
2UWH,BIFUNCTIONAL CYTOCHROME P450/NADPH--P450 REDUCTASE ,0,0,0
4XOM,BIFUNCTIONAL F420 BIOSYNTHESIS PROTEIN FBIB ,0,0,0
1TIW,BIFUNCTIONAL PROTEIN PUTA,0,0,0
2FZM,BIFUNCTIONAL PROTEIN PUTA ,0,0,0
2X0K,BIFUNCTIONAL RIBOFLAVIN KINASE/FMN ADENYLYLTRANSFERASE ,0,0,0
4H4P,BIPHENYL DIOXYGENASE FERREDOXIN REDUCTASE SUBUNIT ,0,0,0
2MWG,BLUE-LIGHT PHOTORECEPTOR ,0,0,0
3T50,BLUE-LIGHT-ACTIVATED HISTIDINE KINASE ,0,0,0
4R38,BLUE-LIGHT-ACTIVATED HISTIDINE KINASE 2 ,0,0,0
6FAH,CAFFEYL-COA REDUCTASE-ETF COMPLEX SUBUNIT CARE ,0,0,0
3GOF,CALMODULIN ,0,0,0
4HZF,CAMP-ACTIVATED GLOBAL TRANSCRIPTIONAL REGULATOR CRP ,0,0,0
3RJ8,CARBOHYDRATE OXIDASE PRECURSOR ,0,0,0
5HZK,CELL DIVISION CONTROL PROTEIN 42 HOMOLOG PRECURSOR ,0,0,0
4QI4,CELLOBIOSE DEHYDROGENASE ,0,0,0
1KDG,CELLOBIOSE DEHYDROGENASE PRECURSOR,0,0,0
4QNW,CHANOCLAVINE-I ALDEHYDE REDUCTASE EASA ,0,0,0
2JBV,CHOLINE OXIDASE ,0,0,0
1QXO,CHORISMATE SYNTHASE,0,0,0
2O12,CHORISMATE SYNTHASE ,0,0,0
3HF3,CHROMATE REDUCTASE ,0,0,0
4OXX,CINDOXIN ,0,0,0
6QYI,COAGULATION FACTOR VIII ,0,0,0
1YQZ,COENZYME A DISULFIDE REDUCTASE,0,0,0
3KD9,COENZYME A DISULFIDE REDUCTASE ,0,0,0
3ATQ,CONSERVED ARCHAEAL PROTEIN ,0,0,0
1RFE,CONSERVED PROTEIN,0,0,0
2NR4,CONSERVED PROTEIN ,0,0,0
2BO0,COPPER-CONTAINING NITRITE REDUCTASE ,0,0,0
1NTD,COPPER-CONTAINING NITRITE REDUCTASE PRECURSOR,0,0,0
3H4F,COPPER-CONTAINING NITRITE REDUCTASE PRECURSOR ,0,0,0
2R6T,CORRINOID ADENOSYLTRANSFERASE ,0,0,0
4CYD,CRP FAMILY TRANSCRIPTIONAL REGULATOR ,0,0,0
3D0S,CRP-LIKE CAMP-ACTIVATED GLOBAL TRANSCRIPTIONAL REGULATOR ,0,0,0
6NP6,CRP/FNR FAMILY TRANSCRIPTIONAL REGULATOR ,0,0,0
1NP7,CRYPTOCHROME DASH,0,0,0
2IJG,"CRYPTOCHROME DASH, CHLOROPLASTIC/MITOCHONDRIAL PRECURSOR ",0,0,0
5ZM0,CRYPTOCHROME PHOTORECEPTOR ,0,0,0
1U3C,CRYPTOCHROME-1,0,0,0
4GU5,CRYPTOCHROME-1 ,0,0,0
4I6E,CRYPTOCHROME-2 ,0,0,0
3DV8,CYCLIC NUCLEOTIDE-BINDING DOMAIN PROTEIN ,0,0,0
3E5Q,CYCLIC NUCLEOTIDE-BINDING PROTEIN ,0,0,0
3GWD,CYCLOHEXANONE MONOOXYGENASE ,0,0,0
6JDD,CYPEMYCIN CYSTEINE DEHYDROGENASE (DECARBOXYLATING) ,0,0,0
4QIS,CYTOCHROME B ,0,0,0
5GPN,"CYTOCHROME B-C1 COMPLEX SUBUNIT 1, MITOCHONDRIAL PRECURSOR ",0,0,0
1FCB,"CYTOCHROME B2, MITOCHONDRIAL PRECURSOR ",0,0,0
3LF5,CYTOCHROME B5 REDUCTASE 4 ,0,0,0
5N1T,CYTOCHROME C ,0,0,0
3RPE,CYTOCHROME C BIOGENESIS PROTEIN CCSA ,0,0,0
6FU3,CYTOCHROME C PEROXIDASE ,0,0,0
1W1O,CYTOKININ DEHYDROGENASE 1 PRECURSOR,0,0,0
2QKN,CYTOKININ DEHYDROGENASE 1 PRECURSOR ,0,0,0
4O95,CYTOKININ DEHYDROGENASE 4 ,0,0,0
2EXR,CYTOKININ DEHYDROGENASE 7 ,0,0,0
4ML8,CYTOKININ OXIDASE 2 ,0,0,0
6C80,CYTOKININ OXIDASE 7 ,0,0,0
1AN9,D-AMINO-ACID OXIDASE,0,0,0
2DU8,D-AMINO-ACID OXIDASE ,0,0,0
3C4N,DAO DOMAIN-CONTAINING PROTEIN ,0,0,0
4AUT,DECAPRENYLPHOSPHORYL-BETA-D-RIBOSE OXIDASE ,0,0,0
1DNP,DEOXYRIBODIPYRIMIDINE PHOTO-LYASE,0,0,0
2J07,DEOXYRIBODIPYRIMIDINE PHOTO-LYASE ,0,0,0
4JN9,DEPH ,0,0,0
4CW5,DFNA ,0,0,0
5XKD,DIBENZOTHIOPHENE DESULFURIZATION ENZYME A ,0,0,0
3OZ2,DIGERANYLGERANYLGLYCEROPHOSPHOLIPID REDUCTASE ,0,0,0
1BHY,DIHYDROLIPOYL DEHYDROGENASE,0,0,0
2EQ6,DIHYDROLIPOYL DEHYDROGENASE ,0,0,0
1DXL,"DIHYDROLIPOYL DEHYDROGENASE, MITOCHONDRIAL PRECURSOR ",0,0,0
3OIX,DIHYDROOROTATE DEHYDROGENASE ,0,0,0
2B4G,DIHYDROOROTATE DEHYDROGENASE (FUMARATE),0,0,0
2DJL,DIHYDROOROTATE DEHYDROGENASE (FUMARATE) ,0,0,0
1F76,DIHYDROOROTATE DEHYDROGENASE (QUINONE),0,0,0
